Date,Close/Last,Volume,Open,High,Low
11/13/2025,$1154.23,4014359,$1158.50,$1167.33,$1145.69
11/12/2025,$1157.50,3922057,$1138.17,$1164.3399,$1128.26
11/11/2025,$1136.44,2796594,$1117.60,$1139.2199,$1112.80
11/10/2025,$1120.07,3692900,$1106.715,$1128.20,$1104.05
11/07/2025,$1103.66,4412534,$1094.175,$1108.22,$1087.50
11/06/2025,$1097.02,3653170,$1094.58,$1103.70,$1085.13
11/05/2025,$1098.46,3553917,$1085.00,$1100.85,$1073.3701
11/04/2025,$1092.96,3871780,$1099.99,$1104.5999,$1086.68
11/03/2025,$1100.09,5863439,$1133.24,$1133.50,$1075.15
10/31/2025,$1118.86,6866500,$1105.39,$1134.88,$1101.98
10/30/2025,$1089.00,4158099,$1094.40,$1106.16,$1088.11
10/29/2025,$1100.41,3399487,$1099.84,$1108.55,$1096.00
10/28/2025,$1102.50,4020901,$1094.00,$1116.9799,$1093.0083
10/27/2025,$1094.56,4691114,$1100.67,$1102.28,$1087.30
10/24/2025,$1094.69,6028025,$1111.00,$1114.51,$1094.41
10/23/2025,$1113.59,6849722,$1126.90,$1127.8285,$1099.73
10/22/2025,$1116.37,14789030,$1142.90,$1157.60,$1112.51
10/21/2025,$1241.35,6508234,$1242.83,$1248.5999,$1231.76
10/20/2025,$1238.56,3986235,$1207.875,$1247.76,$1206.90
10/17/2025,$1199.36,2957101,$1183.60,$1203.12,$1178.95
10/16/2025,$1183.59,2832619,$1212.15,$1216.71,$1176.00
10/15/2025,$1203.29,2025194,$1213.01,$1219.62,$1201.61
10/14/2025,$1215.35,2362446,$1214.75,$1224.2899,$1203.10
